Month,ng_prod
Apr-87,1646758
Mar-87,1745201
Feb-87,1648472
Jan-87,1830364
Dec-86,1744243
Nov-86,1635610
Oct-86,1549075
Sep-86,1449958
Aug-86,1531488
Jul-86,1530478
Jun-86,1488517
May-86,1559058
Apr-86,1532501
Mar-86,1697033
Feb-86,1590678
Jan-86,1822072
Dec-85,1832894
Nov-85,1605066
Oct-85,1594820
Sep-85,1536110
Aug-85,1559116
Jul-85,1570088
Jun-85,1526158
May-85,1585096
Apr-85,1601171
Mar-85,1689944
Feb-85,1672775
Jan-85,1833462
Dec-84,1794932
Nov-84,1661692
Oct-84,1667575
Sep-84,1580166
Aug-84,1658423
Jul-84,1682570
Jun-84,1623846
May-84,1675256
Apr-84,1671840
Mar-84,1699551
Feb-84,1655189
Jan-84,1895481
Dec-83,1642136
Nov-83,1521775
Oct-83,1531355
Sep-83,1462650
Aug-83,1532451
Jul-83,1551881
Jun-83,1495326
May-83,1532055
Apr-83,1542366
Mar-83,1577466
Feb-83,1521467
Jan-83,1748117
Dec-82,1669000
Nov-82,1627000
Oct-82,1615000
Sep-82,1574000
Aug-82,1643000
Jul-82,1672000
Jun-82,1647000
May-82,1698000
Apr-82,1719000
Mar-82,1822000
Feb-82,1716000
Jan-82,1870000
Dec-81,1860000
Nov-81,1714000
Oct-81,1781000
Sep-81,1716000
Aug-81,1841000
Jul-81,1797000
Jun-81,1770000
May-81,1838000
Apr-81,1808000
Mar-81,1871000
Feb-81,1702000
Jan-81,1890000
Dec-80,1949000
Nov-80,1790000
Oct-80,1790000
Sep-80,1723000
Aug-80,1716000
Jul-80,1756000
Jun-80,1725000
May-80,1840000
Apr-80,1806000
Mar-80,1971000
Feb-80,1840000
Jan-80,1960000
